annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction,prix_m2,age_bien_estime,annee_publication,mois_publication,trimestre_publication,nom_mois_publication,categorie_surface,categorie_prix,segment_marche
ANO000343,2023-05-05,Terrain moderne Meknès,meknès,hamria,terrain,vente,811401.04,314.4,0,0,0,2014,2580.792111959288,12,2023,5,2,May,Grand (> 150 m²),High standard,Market Standard
ANO001296,2023-08-20,Terrain moderne Kenitra,kenitra,centre,terrain,location,3843.55,36.46,0,0,0,2008,105.41826659352715,18,2023,8,3,August,Petit (< 80 m²),Economy,Market Standard
ANO001212,2023-06-20,Appartement moderne Oujda,oujda,hay qods,appartement,location,9190.7,95.54,2,2,3,2012,96.19740422859536,14,2023,6,2,June,Moyen (80-150 m²),Medium,Market Standard
ANO001000,2024-01-21,Appartement à vente - Tanger,tanger,inconnu,appartement,vente,30000.0,93.35,1,1,3,2008,321.3711837171934,18,2024,1,1,January,Moyen (80-150 m²),Medium,Market Standard
ANO001123,2024-03-19,Beau Villa Rabat,rabat,souissi,villa,location,20844.72,264.22,3,1,0,2006,78.89152978578457,20,2024,3,1,March,Grand (> 150 m²),Economy,Market Standard
ANO000927,2024-03-19,Appartement 96m² Talborjt,agadir,talborjt,appartement,vente,542588.3,96.99,3,1,4,2016,5594.270543354985,10,2024,3,1,March,Moyen (80-150 m²),High standard,Market Standard
ANO000511,2023-06-12,Bureau à vente - Tanger,tanger,inconnu,bureau,vente,1256354.5,49.26,0,0,3,2012,25504.557450263907,14,2023,6,2,June,Petit (< 80 m²),High standard,Market Standard
ANO000608,2023-08-17,Appartement moderne Rabat,rabat,agdal,appartement,vente,2030740.75,79.38,1,1,1,1998,25582.52393550013,28,2023,8,3,August,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO000153,2024-10-16,Appartement moderne Fès,fès,zouagha,appartement,vente,537156.36,59.12,1,1,8,1991,9085.865358592693,35,2024,10,4,October,Petit (< 80 m²),High standard,Market Standard
ANO000720,2024-09-12,Beau Appartement Agadir,agadir,talborjt,appartement,vente,511874.19,117.04,2,2,1,2014,4373.497863978127,12,2024,9,3,September,Moyen (80-150 m²),High standard,Market Standard
ANO000965,2023-12-08,Villa moderne Fès,fès,medina,villa,location,180.0,267.23,5,2,0,2007,0.6735770684429143,19,2023,12,4,December,Grand (> 150 m²),Economy,Market Standard
ANO000532,2023-02-04,Beau Appartement Meknès,meknès,hamria,appartement,location,9446.3,25.93,3,2,0,2001,364.30003856536825,25,2023,2,1,February,Petit (< 80 m²),Medium,Market Standard
ANO000544,2024-02-12,Beau Appartement Oujda,oujda,hay qods,appartement,vente,652332.84,97.12,3,2,3,2003,6716.771416803953,23,2024,2,1,February,Moyen (80-150 m²),High standard,Market Standard
ANO000172,2023-07-15,Beau Appartement Casablanca,casablanca,californie,appartement,location,1764.37,70.58,2,1,2,2011,24.99815811844715,15,2023,7,3,July,Petit (< 80 m²),Economy,Market Standard
ANO001227,2024-07-04,Villa moderne Tétouan,tétouan,inconnu,villa,location,11183.41,243.3,5,2,0,2001,45.965515824085486,25,2024,7,3,July,Grand (> 150 m²),Economy,Market Standard
ANO000102,2023-08-24,Appartement à location - Tanger,tanger,centre ville,appartement,location,8976.59,84.48,2,1,1,2010,106.25698390151514,16,2023,8,3,August,Moyen (80-150 m²),Medium,Market Standard
ANO000947,2023-05-29,Appartement à vente - Marrakech,marrakech,gueliz,appartement,vente,816253.63,81.02,3,2,7,2012,10074.717724018761,14,2023,5,2,May,Moyen (80-150 m²),Luxury,Market Standard
ANO000946,2024-05-29,Appartement à location - Oujda,oujda,inconnu,appartement,location,2056.08,132.6,3,2,3,2023,15.505882352941176,3,2024,5,2,May,Moyen (80-150 m²),Economy,Market Standard
ANO000155,2024-09-20,Bureau 128m² Hay Qods,oujda,hay qods,bureau,vente,920109.8,128.56,0,0,3,2009,7157.04573739888,17,2024,9,3,September,Moyen (80-150 m²),Medium,Market Standard
ANO001240,2024-11-24,Beau Duplex Fès,fès,zouagha,duplex,vente,3184749.75,140.93,3,1,3,1998,22598.09657276662,28,2024,11,4,November,Moyen (80-150 m²),Luxury,Market Standard
ANO000755,2024-11-11,Beau Appartement Casablanca,casablanca,maarif,appartement,vente,2494312.88,58.22,2,1,2,2010,42842.8869804191,16,2024,11,4,November,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO000371,2023-07-28,Terrain à vente - Marrakech,marrakech,hivernage,terrain,vente,742795.28,326.09,0,0,0,2016,2277.884265080193,10,2023,7,3,July,Grand (> 150 m²),High standard,Market Standard
ANO000518,2023-02-23,Appartement moderne Meknès,meknès,inconnu,appartement,location,2102.24,63.05,3,2,0,2003,33.342426645519424,23,2023,2,1,February,Petit (< 80 m²),Economy,Market Standard
ANO001464,2023-01-28,Beau Terrain Rabat,rabat,hay riad,terrain,vente,975589.83,361.79,0,0,0,2012,2696.563835374112,14,2023,1,1,January,Grand (> 150 m²),Luxury,Market Standard
ANO001497,2023-09-10,Beau Bureau Meknès,meknès,ville nouvelle,bureau,location,6209.83,120.05,0,0,1,2013,51.727030403998334,13,2023,9,3,September,Moyen (80-150 m²),Economy,Market Standard
ANO000276,2023-10-24,Beau Villa Marrakech,marrakech,medina,villa,vente,2926692.24,376.37,3,1,0,2005,7776.103940271541,21,2023,10,4,October,Grand (> 150 m²),High standard,Market Standard
ANO000058,2024-07-23,Terrain à location - Fès,fès,medina,terrain,location,2221.03,290.75,0,0,0,2005,7.63896818572657,21,2024,7,3,July,Grand (> 150 m²),Economy,Market Standard
ANO001110,2024-11-20,Duplex moderne Marrakech,marrakech,targa,duplex,location,5785.75,95.39,3,1,1,2016,60.65363245623231,10,2024,11,4,November,Moyen (80-150 m²),Economy,Market Standard
ANO000079,2024-01-15,Villa moderne Fès,fès,ville nouvelle,villa,vente,3271972.04,300.71,3,2,0,1969,10880.822187489608,57,2024,1,1,January,Grand (> 150 m²),High standard,Market Standard
ANO000724,2023-10-12,Beau Appartement Tanger,tanger,inconnu,appartement,vente,605963.0,109.68,2,1,1,2009,5524.826768781911,17,2023,10,4,October,Moyen (80-150 m²),High standard,Market Standard
ANO000034,2024-05-17,Appartement à vente - Rabat,rabat,ocean,appartement,vente,521849.54,49.62,3,1,2,1993,10516.919387343813,33,2024,5,2,May,Petit (< 80 m²),High standard,Market Standard
ANO000723,2024-02-12,Beau Villa Fès,fès,zouagha,villa,location,19134.85,149.39,5,2,0,1996,128.08655197804404,30,2024,2,1,February,Moyen (80-150 m²),Economy,Market Standard
ANO000898,2023-09-27,Terrain moderne Tanger,tanger,iberia,terrain,location,2907.1,295.28,0,0,0,2008,9.845231644540775,18,2023,9,3,September,Grand (> 150 m²),Economy,Market Standard
